, Subscribers,Avg. likes,Avg Views,Avg Commentss,ViewsCategory
472,14700000.0,257.0,13600.0,6.0,0
473,14700000.0,268.0,6700.0,9.0,0
474,14700000.0,233.0,16900.0,23.0,0
475,14600000.0,12800.0,1100000.0,250.0,1
476,14600000.0,15200.0,2246412.5,0.0,1
477,14600000.0,305.0,40500.0,11.0,0
478,14600000.0,0.0,0.0,0.0,0
479,14600000.0,442.0,17600.0,48.0,0
480,14600000.0,1900.0,99000.0,199.0,1
481,14600000.0,1500.0,28700.0,95.0,0
482,14600000.0,858.0,19100.0,58.0,0
483,14600000.0,1700.0,68200.0,145.0,1
484,14600000.0,7400.0,146000.0,817.0,1
485,14600000.0,2000.0,36900.0,114.0,0
486,14600000.0,41500.0,209800.0,286.0,1
487,14500000.0,303.0,88400.0,0.0,1
488,14500000.0,48500.0,1400000.0,556.0,1
489,14500000.0,77600.0,2246412.5,3200.0,1
490,14500000.0,3100.0,420700.0,26.0,1
491,14500000.0,0.0,633700.0,899.0,1
492,14500000.0,2900.0,522300.0,0.0,1
493,14500000.0,35500.0,2246412.5,584.0,1
494,14500000.0,273.0,28100.0,0.0,0
495,14500000.0,61.0,8900.0,0.0,0
496,14400000.0,5100.0,54000.0,103.0,1
497,14400000.0,62900.0,946900.0,2800.0,1
498,14400000.0,0.0,2246412.5,5200.0,1
499,14400000.0,38200.0,2200000.0,6500.0,1
500,14400000.0,38600.0,371800.0,863.0,1
501,14400000.0,62700.0,2246412.5,7200.0,1
502,14400000.0,3400.0,731300.0,0.0,1
503,14400000.0,1400.0,43800.0,158.0,0
504,14400000.0,988.0,100700.0,64.0,1
505,14400000.0,528300.0,2246412.5,34100.0,1
506,14300000.0,59800.0,2246412.5,4400.0,1
507,14300000.0,50.0,5400.0,4.0,0
508,14200000.0,59400.0,2246412.5,4100.0,1
509,14200000.0,11000.0,166700.0,114.0,1
510,14200000.0,18800.0,239900.0,325.0,1
511,14200000.0,194200.0,2246412.5,7700.0,1
512,14200000.0,4700.0,323200.0,4200.0,1
513,14200000.0,477600.0,2246412.5,561.0,1
514,14200000.0,5700.0,348000.0,88.0,1
515,14200000.0,3000.0,135800.0,301.0,1
516,14200000.0,1800.0,35500.0,76.0,0
517,14200000.0,3500.0,764100.0,0.0,1
518,14100000.0,249500.0,2246412.5,9800.0,1
519,14100000.0,6600.0,566800.0,80.0,1
520,14100000.0,47100.0,342100.0,208.0,1
521,14100000.0,144900.0,2000000.0,6900.0,1
522,14100000.0,2900.0,237200.0,104.0,1
523,14000000.0,321100.0,2246412.5,18600.0,1
524,14000000.0,74700.0,2000000.0,8400.0,1
525,14000000.0,0.0,957600.0,328.0,1
526,14000000.0,1700.0,485600.0,0.0,1
527,14000000.0,58600.0,1300000.0,805.0,1
528,14000000.0,19900.0,190600.0,276.0,1
529,14000000.0,14000.0,224700.0,262.0,1
530,14000000.0,10400.0,408900.0,209.0,1
531,14000000.0,12200.0,384500.0,265.0,1
532,14000000.0,112600.0,2000000.0,1800.0,1
533,14000000.0,165300.0,1700000.0,752.0,1
534,13900000.0,33400.0,864600.0,1200.0,1
535,13800000.0,106.0,9600.0,4.0,0
536,13800000.0,8800.0,206300.0,224.0,1
537,13800000.0,40.0,2000.0,1.0,0
538,13800000.0,8900.0,666700.0,258.0,1
539,13800000.0,83600.0,1300000.0,2300.0,1
540,13800000.0,14200.0,2246412.5,220.0,1
541,13800000.0,1800.0,48600.0,65.0,0
542,13800000.0,16300.0,359400.0,18.0,1
543,13800000.0,487.0,63300.0,0.0,1
544,13800000.0,200400.0,2246412.5,6700.0,1
545,13800000.0,9100.0,216500.0,44.0,1
546,13800000.0,27000.0,462400.0,493.0,1
547,13800000.0,3700.0,30200.0,75.0,0
548,13800000.0,21800.0,146400.0,174.0,1
549,13700000.0,4200.0,114300.0,436.0,1
550,13700000.0,3500.0,74500.0,270.0,1
551,13700000.0,2900.0,387500.0,0.0,1
552,13700000.0,2800.0,61100.0,231.0,1
553,13700000.0,23700.0,458200.0,1400.0,1
554,13600000.0,323.0,38500.0,11.0,0
555,13600000.0,2900.0,621800.0,0.0,1
556,13600000.0,0.0,0.0,0.0,0
557,13600000.0,2900.0,381400.0,0.0,1
558,13600000.0,8300.0,130500.0,133.0,1
559,13600000.0,148.0,12500.0,116.0,0
560,13600000.0,224400.0,2246412.5,12200.0,1
561,13600000.0,2400.0,72200.0,156.0,1
562,13600000.0,11400.0,264900.0,1200.0,1
563,13600000.0,87400.0,1100000.0,1200.0,1
564,13500000.0,996.0,17100.0,33.0,0
565,13500000.0,6.0,394.0,0.0,0
566,13500000.0,1800.0,30400.0,36.0,0
567,13500000.0,67800.0,458500.0,114.0,1
